Position; Velocity; Acceleration; Pitch; Roll; Heading; LeftWingInclination; rightWingInclination; horStabInclination; verStabInclination; LliftX; LliftY; LliftZ; RliftX; RliftY; RliftZ; horLiftX; horLiftY; horLiftZ; verLiftX; verLiftY; verLiftZ; momentX; momentY; momentZ
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 4.2898836
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 4.3400087
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 4.3898306
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 4.4399185
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 4.490019
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 4.53981
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 4.5901623
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 4.640688
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 4.6898565
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 4.739969
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 4.7897825
