Position; Velocity; Acceleration; Pitch; Roll; Heading; LeftWingInclination; rightWingInclination; horStabInclination; verStabInclination; LliftX; LliftY; LliftZ; RliftX; RliftY; RliftZ; horLiftX; horLiftY; horLiftZ; verLiftX; verLiftY; verLiftZ; momentX; momentY; momentZ
(-0.03, -1.44, 37.94); (-0.24, -1.83, -20.59); (-1.25, 0.34, -0.78); -0.11917935; 0.0022748224; -0.032709174; 0.0; 0.0; -0.045; 0.0; 0.0; 38.28834; 0.0; 0.0; 39.937733; 0.0; 0.0; 2.7517414; -0.12391203; -12.402951; 0.0; 0.0; -2.7517414; -12.402951; 1.6493912; 1.0905153
(-0.04, -1.53, 36.91); (-0.30, -1.82, -20.63); (-1.43, 0.52, -0.83); -0.13896085; 0.003987692; -0.04619498; 0.0; 0.0; -0.045; 0.0; 0.0; 38.42284; 0.0; 0.0; 40.909695; 0.0; 0.0; 2.8702145; -0.1292469; -14.828996; 0.0; 0.0; -2.8702145; -14.828996; 2.4868546; 1.1408433
(-0.06, -1.62, 35.87); (-0.37, -1.79, -20.67); (-1.41, 0.77, -0.87); -0.16055031; 0.006753388; -0.0636607; 0.0; 0.0; -0.045; 0.0; 0.0; 38.648926; 0.0; 0.0; 42.37557; 0.0; 0.0; 3.0167348; -0.13584478; -15.96348; 0.0; 0.0; -3.016735; -15.96348; 3.7266426; 1.1913244
(-0.08, -1.71, 34.86); (-0.44, -1.75, -20.72); (-1.24, 1.13, -0.89); -0.18313864; 0.010949301; -0.08506392; 0.0; 0.0; -0.045; 0.0; 0.0; 38.985752; 0.0; 0.0; 44.528824; 0.0; 0.0; 3.198568; -0.1440328; -16.374374; 0.0; 0.0; -3.1985683; -16.374374; 5.5430717; 1.2400169
(-0.10, -1.80, 33.82); (-0.50, -1.69, -20.76); (-1.01, 1.61, -0.90); -0.20815718; 0.017522851; -0.11188662; 0.0; 0.0; -0.045; 0.0; 0.0; 39.419952; 0.0; 0.0; 47.477848; 0.0; 0.0; 3.4157186; -0.15381119; -16.853432; 0.0; 0.0; -3.415718; -16.853432; 8.057896; 1.2899921
(-0.12, -1.88, 32.78); (-0.55, -1.61, -20.81); (-0.70, 2.25, -0.88); -0.23534542; 0.027621478; -0.14402524; 0.0; 0.0; -0.045; 0.0; 0.0; 39.88498; 0.0; 0.0; 51.623432; 0.0; 0.0; 3.6854546; -0.1659575; -17.45151; 0.0; 0.0; -3.6854544; -17.45151; 11.738451; 1.3402865
(-0.15, -1.97, 31.74); (-0.59, -1.50, -20.85); (-0.30, 3.07, -0.82); -0.26444924; 0.042689197; -0.18118064; 0.0; 0.0; -0.045; 0.0; 0.0; 40.26685; 0.0; 0.0; 57.214466; 0.0; 0.0; 4.009751; -0.1805607; -18.204536; 0.0; 0.0; -4.0097504; -18.204536; 16.947617; 1.3901619
(-0.18, -2.04, 30.68); (-0.60, -1.35, -20.89); (0.20, 4.05, -0.69); -0.2965093; 0.06553021; -0.2246635; 0.0; 0.0; -0.045; 0.0; 0.0; 40.30759; 0.0; 0.0; 64.518425; 0.0; 0.0; 4.3848076; -0.19744964; -19.180183; 0.0; 0.0; -4.3848076; -19.180183; 24.210833; 1.4410926
(-0.21, -2.11, 29.66); (-0.59, -1.15, -20.92); (0.82, 5.23, -0.44); -0.32977778; 0.098002955; -0.27206588; 0.0; 0.0; -0.045; 0.0; 0.0; 39.687794; 0.0; 0.0; 74.19749; 0.0; 0.0; 4.8228855; -0.21717647; -20.56337; 0.0; 0.0; -4.8228855; -20.56337; 34.509693; 1.4899782
(-0.24, -2.16, 28.61); (-0.55, -0.89, -20.95); (1.49, 6.57, -0.03); -0.36656135; 0.1461115; -0.32652345; 0.0; 0.0; -0.045; 0.0; 0.0; 38.119225; 0.0; 0.0; 86.136; 0.0; 0.0; 5.2991176; -0.23862138; -22.55479; 0.0; 0.0; -5.299118; -22.55479; 48.016777; 1.5400834
(-0.27, -2.21, 27.56); (-0.48, -0.56, -20.95); (2.16, 8.17, 0.65); -0.40631187; 0.21577421; -0.38734224; 0.0; 0.0; -0.045; 0.0; 0.0; 34.96669; 0.0; 0.0; 101.691536; 0.0; 0.0; 5.838851; -0.2629258; -25.91736; 0.0; 0.0; -5.838851; -25.91736; 66.724846; 1.590113
(-0.29, -2.24, 26.50); (-0.37, -0.14, -20.92); (2.63, 10.06, 1.71); -0.44986165; 0.31660208; -0.45597962; 0.0; 0.0; -0.045; 0.0; 0.0; 30.01844; 0.0; 0.0; 121.218925; 0.0; 0.0; 6.438075; -0.28990912; -31.89292; 0.0; 0.0; -6.438075; -31.89292; 91.200485; 1.6407042
(-0.31, -2.24, 25.45); (-0.24, 0.36, -20.83); (2.45, 12.45, 3.22); -0.49701416; 0.45972022; -0.5326919; 0.0; 0.0; -0.045; 0.0; 0.0; 22.61042; 0.0; 0.0; 145.92953; 0.0; 0.0; 7.098954; -0.31966877; -43.56078; 0.0; 0.0; -7.098954; -43.56078; 123.319115; 1.6911527
(-0.32, -2.23, 24.43); (-0.12, 0.97, -20.67); (-0.08, 12.96, 3.86); -0.5465984; 0.65433246; -0.6167291; 0.0; 0.0; -0.045; 0.0; 0.0; 12.420924; 0.0; 0.0; 151.8295; 0.0; 0.0; 7.801833; -0.3513197; -67.06269; 0.0; 0.0; -7.801833; -67.06269; 139.40857; 1.7399626
(-0.33, -2.18, 23.39); (-0.12, 1.63, -20.48); (-5.39, 14.27, 2.70); -0.60213727; 0.9309941; -0.7168511; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 154.01558; 0.0; 0.0; 8.490822; -0.3823451; -114.0212; 0.0; 0.0; -8.490822; -114.0212; 154.01558; 1.7903385
(-0.33, -2.10, 22.37); (-0.39, 2.34, -20.34); (-14.24, 20.00, -0.84); -0.66192937; 1.2918968; -0.8368487; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 159.02148; 0.0; 0.0; 9.425543; -0.42443597; -203.69856; 0.0; 0.0; -9.425543; -203.69856; 159.02148; 1.8401344
(-0.35, -1.98, 21.34); (-1.11, 3.34, -20.39); (-27.84, 31.23, -11.23); -0.72783726; 1.754254; -0.9942226; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 169.07072; 0.0; 0.0; 9.983444; -0.4495585; -365.21396; 0.0; 0.0; -9.983444; -365.21396; 169.07072; 1.8905826
(-0.41, -1.81, 20.30); (-2.54, 4.95, -20.96); (-43.68, 50.44, -34.05); -0.8009656; 2.3273773; -1.2201787; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 185.67654; 0.0; 0.0; 8.716754; -0.39251894; -625.1341; 0.0; 0.0; -8.716754; -625.1341; 185.67654; 1.941889
(-0.53, -1.57, 19.29); (-4.64, 7.38, -22.60); (-53.90, 83.20, -79.40); -0.8758142; 2.9701185; -1.5452445; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 216.11424; 0.0; 0.0; 7.1186934; -0.32055762; -1045.508; 0.0; 0.0; -7.1186934; -1045.508; 216.11424; 1.9900736
(-0.77, -1.20, 18.15); (-7.35, 11.56, -26.59); (-33.92, -5.67, 4.17); -0.95914495; 3.7527795; -2.0734293; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 270.4504; 0.0; 0.0; 4.888144; -0.2201151; 0.0; 0.0; 0.0; -4.888144; 0.0; 270.4504; 2.0403218
(-1.13, -0.62, 16.83); (-9.03, 11.28, -26.39); (-45.00, -10.08, -15.37); -1.0458642; 4.660293; -2.9207916; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 379.23618; 0.0; 0.0; 1.1769956; -0.053000588; 0.0; 0.0; 0.0; -1.1769955; 0.0; 379.23618; 2.089938
(-1.58, -0.06, 15.51); (-11.29, 10.77, -27.15); (-39.28, -15.54, -22.92); -1.1364188; 5.74415; -3.775963; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 366.70914; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 366.70914; 2.1400113
(-2.16, 0.49, 14.12); (-13.30, 9.97, -28.33); (-27.66, -22.17, -6.94); -1.2298754; 0.81387204; -4.6514087; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 248.61746; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 248.61746; 2.1912718
(-2.81, 0.98, 12.74); (-14.65, 8.90, -28.67); (-6.86, -16.63, 2.27); -1.3185786; 2.3266072; -5.482326; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 79.37646; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 79.37646; 2.239925
(-3.55, 1.42, 11.30); (-14.99, 8.06, -28.55); (-934.74, -986.38, -5204.95); -1.4103476; 4.04384; -0.05877703; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 106.550865; 0.0; 0.0; 0.0; 0.0; -43020.93; 0.0; 0.0; 0.0; -43020.93; 106.550865; 2.2902596
(-4.30, 1.83, 9.87); (-61.71, -41.24, -288.72); (-1004.76, 26.80, -6382.70); -1.5014776; 5.7990427; -0.91242784; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 283.72815; 0.0; 0.0; 0.0; 0.0; -51690.492; 0.0; 0.0; 0.0; -51690.492; 283.72815; 2.3402438
(-7.40, -0.25, -4.67); (-112.33, -39.89, -610.26); (-365750.03, 474289.16, -8633477.00); -1.5933219; 1.3518912; -2.7473156; 0.0; 0.0; -0.045; 0.0; 0.0; 1330.8823; 0.0; 0.0; 4645.075; 0.0; 0.0; 2064.164; -92.95014; -6.9233824E7; 0.0; 0.0; -2064.164; -6.9233824E7; 3314.1929; 2.39062
(-13.11, -2.28, -35.68); (-18697.43, 24060.48, -439308.97); (-862631.44, -359371.03, -41551288.00); -1.685964; 3.385445; -2.3973708; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 4313.498; 0.0; 0.0; 9174.412; -413.12747; -3.32494368E8; 0.0; 0.0; -9174.412; -3.32494368E8; 4313.498; 2.4414337
(-927.03, 1173.78, -21508.80); (-60862.26, 6494.68, -2470307.00); (0.34, -9.29, -0.07); -3.0567899; 1.1162969; -0.9165126; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 2.490313
(-3982.02, 1499.78, -145506.03); (-60862.25, 6494.21, -2470307.00); (18753205898838016.00, -24450522966654976.00, -2619406332985344.00); -3.808687; 1.6009933; -2.8616142; 0.0; 0.0; -0.045; 0.0; 0.0; 6.8518106E8; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -2.47402125E17; 0.0; 0.0; 0.0; -2.47402125E17; -6.8518106E8; 2.540508
(-6993.11, 1821.08, -267721.66); (927793466572800.00, -1209661701226496.00, -129592140496896.00); (-1245707229290561540.00, -358179416125210620.00, 1020786251629854720.00); -4.4595027; 1.9884478; -0.19836855; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 3.18407154E12; 0.0; 0.0; 2.41253806E10; -1.08637555E9; -1.3198991E19; 0.0; 0.0; -2.41253806E10; -1.3198991E19; 3.18407154E12; 2.5899818
(47702737944576.00, -62195069091840.00, -6663013662720.00); (-63120561663901696.00, -19625550263877632.00, 52354397207789568.00); (NaN, NaN, NaN); -5.3824143; -2.9816883; -3.6335857; 0.0; 0.0; -0.045; 0.0; 0.0; 5.5343476E29; 0.0; 0.0; 1.1648418E30; 0.0; 0.0; 2.522015E29; -1.1356735E28; -Infinity; NaN; NaN; NaN; NaN; NaN; 2.641397
(-3140842206265344.00, -1053582791016448.00, 2638027432132608.00); (NaN, NaN, NaN); (NaN, NaN, NaN); -3.8345904; 2.103128; -4.462536; 0.0; 0.0; -0.045; 0.0; 0.0; 0.0; 0.0; 0.0; 8.557549E32; 0.0; 0.0; 4.339468E30; -1.95408E29; -Infinity; NaN; NaN; NaN; NaN; NaN; 2.6919122
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 2.739959
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 2.7899454
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 2.8402133
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 2.8910933
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 2.942144
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 2.9901667
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.0408406
(NaN, NaN, NaN); (NaN, NaN, NaN); (NaN, NaN, NaN); NaN; NaN; NaN; 0.0; 0.0; -0.045; 0.0; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; NaN; 3.0905893
